Date, Open, High, Low, Close
04/17/14, 16424.14, 16460.49, 16368.14, 16408.54
04/16/14, 16266.23, 16424.85, 16266.23, 16424.85
04/15/14, 16173.49, 16272.95, 16063.20, 16262.56
04/14/14, 16028.29, 16184.76, 16028.29, 16173.24
04/11/14, 16168.87, 16168.87, 16015.32, 16026.75
04/10/14, 16437.24, 16456.12, 16153.34, 16170.22
04/09/14, 16256.37, 16438.82, 16256.37, 16437.18
04/08/14, 16245.16, 16296.86, 16180.28, 16256.14
04/07/14, 16414.15, 16421.38, 16244.01, 16245.87
04/04/14, 16576.02, 16631.63, 16392.77, 16412.71
04/03/14, 16572.36, 16604.15, 16527.60, 16572.55
04/02/14, 16532.80, 16588.19, 16506.60, 16573.00
04/01/14, 16458.05, 16565.73, 16457.60, 16532.61
03/31/14, 16324.22, 16480.85, 16324.22, 16457.66
03/28/14, 16267.77, 16414.86, 16267.77, 16323.06
03/27/14, 16268.67, 16300.94, 16191.79, 16264.23
03/26/14, 16370.71, 16466.04, 16268.99, 16268.99
03/25/14, 16279.20, 16407.18, 16279.20, 16367.88
03/24/14, 16303.28, 16380.51, 16215.56, 16276.69
03/21/14, 16332.69, 16456.45, 16290.79, 16302.77
03/20/14, 16221.98, 16353.98, 16160.33, 16331.05
03/19/14, 16335.71, 16363.32, 16126.29, 16222.17
03/18/14, 16245.93, 16369.94, 16245.93, 16336.19
03/17/14, 16066.37, 16270.34, 16066.37, 16247.22
03/14/14, 16106.32, 16165.05, 16046.99, 16065.67
03/13/14, 16341.55, 16405.07, 16084.10, 16108.89
03/12/14, 16350.67, 16364.74, 16260.03, 16340.08
03/11/14, 16419.39, 16460.33, 16325.17, 16351.25
03/10/14, 16453.10, 16453.10, 16334.20, 16418.68
03/07/14, 16424.53, 16505.70, 16398.86, 16452.72
03/06/14, 16360.56, 16450.17, 16360.56, 16421.89
03/05/14, 16395.88, 16406.55, 16343.96, 16360.18
03/04/14, 16169.32, 16419.49, 16169.32, 16395.88
03/03/14, 16321.71, 16321.71, 16071.25, 16168.03
02/28/14, 16273.23, 16398.95, 16226.09, 16321.71
02/27/14, 16197.70, 16276.28, 16159.81, 16272.65
02/26/14, 16180.36, 16252.35, 16155.86, 16198.41
02/25/14, 16207.34, 16254.26, 16147.25, 16179.66
